"referid","testid","seqid","algorithm","sp","tc","time"
"ref1","test3","1cpt_ref1","clustalw2","0.718","0.513","185.84"
"ref6","test_4","zf_1_ref6","tcoffee","","","14696.733"
"ref6","test_4","zf_1_ref6","dialign","","",""
"ref6","test_4","zf_1_ref6","poa","","",""
"ref6","test_4","zf_1_ref6","clustalw2","","","5907.619"
"ref8","test","gsh_2_ref8","tcoffee","0.640","0.109","6094.802"
"ref8","test","gsh_2_ref8","dialign","0.584","0.038","4609.39"
"ref8","test","gsh_2_ref8","poa","0.531","0.000","829.935"
"ref8","test","gsh_2_ref8","clustalw2","0.600","0.038","1687.829"
"ref2","test1","2pia_ref2","tcoffee","0.906","0.604","2483.039"
"ref2","test1","2pia_ref2","dialign","0.729","0.000","1396.214"
"ref2","test1","2pia_ref2","poa","0.817","0.404","374.798"
"ref2","test1","2pia_ref2","clustalw2","0.836","0.421","739.907"
"ref2","test1","1cpt_ref2","tcoffee","0.895","0.640","3798.649"
"ref2","test1","1cpt_ref2","dialign","0.823","0.286","2575.109"
"ref2","test1","1cpt_ref2","poa","0.755","0.329","665.177"
"ref2","test1","1cpt_ref2","clustalw2","0.847","0.586","1186.915"
"ref1","test2","3grs_ref1","tcoffee","0.431","0.166","395.88"
"ref1","test2","3grs_ref1","dialign","0.286","0.091","128.107"
"ref1","test2","3grs_ref1","poa","0.222","0.059","119.406"
"ref1","test2","3grs_ref1","clustalw2","0.378","0.214","123.309"
"ref1","test3","1bgl_ref1","tcoffee","0.875","0.795","1831.642"
"ref1","test3","1bgl_ref1","dialign","0.833","0.718","933.926"
"ref1","test3","1bgl_ref1","poa","0.800","0.699","340.673"
"ref1","test3","1bgl_ref1","clustalw2","0.854","0.742","847.261"
"ref1","test3","1adj_ref1","tcoffee","0.976","0.957","573.142"
"ref1","test3","1adj_ref1","dialign","0.924","0.862","187.158"
"ref1","test3","1adj_ref1","poa","0.893","0.812","158.503"
"ref1","test3","1adj_ref1","clustalw2","0.935","0.869","253.901"
"ref1","test2","1pgtA_ref1","tcoffee","0.916","0.845","348.575"
"ref1","test2","1pgtA_ref1","dialign","0.844","0.773","109.187"
"ref1","test2","1pgtA_ref1","poa","0.728","0.531","384.201"
"ref1","test2","1pgtA_ref1","clustalw2","0.941","0.907","59.071"
"ref5","test","1thm1_ref5","tcoffee","0.861","0.640","978.831"
"ref5","test","1thm1_ref5","dialign","0.586","0.012","485.213"
"ref5","test","1thm1_ref5","poa","0.603","0.287","210.508"
"ref5","test","1thm1_ref5","clustalw2","0.734","0.457","191.914"
"ref2","test1","1pamA_ref2","tcoffee","0.820","0.490","8444.136"
"ref2","test1","1pamA_ref2","dialign","0.688","0.000","6100.483"
"ref2","test1","1pamA_ref2","poa","0.771","0.283","940.478"
"ref2","test1","1pamA_ref2","clustalw2","0.812","0.499","2436.164"
"ref1","test2","1havA_ref1","tcoffee","0.397","0.164","395.552"
"ref1","test2","1havA_ref1","dialign","0.120","0.000","146.866"
"ref1","test2","1havA_ref1","poa","0.148","0.090","142.12"
"ref1","test2","1havA_ref1","clustalw2","0.227","0.107","90.736"
"ref1","test1","1fkj_ref1","tcoffee","0.924","0.832","204.643"
"ref1","test1","1fkj_ref1","dialign","0.861","0.768","80.461"
"ref1","test1","1fkj_ref1","poa","0.894","0.779","129.706"
"ref1","test1","1fkj_ref1","clustalw2","0.939","0.853","53.026"
"ref5","test","1pysA_ref5","tcoffee","0.759","0.362","1069.707"
"ref5","test","1pysA_ref5","dialign","0.664","0.189","524.465"
"ref5","test","1pysA_ref5","poa","0.370","0.043","243.374"
"ref5","test","1pysA_ref5","clustalw2","0.572","0.189","356.282"
"ref1","test2","1mrj_ref1","tcoffee","0.937","0.899","307.015"
"ref1","test2","1mrj_ref1","dialign","0.834","0.730","185.073"
"ref1","test2","1mrj_ref1","poa","0.866","0.781","115.616"
"ref1","test2","1mrj_ref1","clustalw2","0.853","0.768","88.498"
"ref2","test1","1havA_ref2","tcoffee","0.879","0.374","1873.617"
"ref2","test1","1havA_ref2","dialign","0.595","0.000","982.163"
"ref2","test1","1havA_ref2","poa","0.783","0.252","253.084"
"ref2","test1","1havA_ref2","clustalw2","0.823","0.301","455.831"
"ref8","test","gsh_1_ref8","tcoffee","0.391","0.000","6688.705"
"ref8","test","gsh_1_ref8","dialign","0.392","0.000","5028.065"
"ref8","test","gsh_1_ref8","poa","0.371","0.000","846.231"
"ref8","test","gsh_1_ref8","clustalw2","0.391","0.000","1688.449"
"ref4","test","1ycc_ref4","tcoffee","0.799","0.389","351.162"
"ref4","test","1ycc_ref4","dialign","0.631","0.000","238.24"
"ref4","test","1ycc_ref4","poa","0.692","0.208","132.328"
"ref4","test","1ycc_ref4","clustalw2","0.785","0.264","108.1"
"ref2","test1","3grs_ref2","tcoffee","0.853","0.375","1655.655"
"ref2","test1","3grs_ref2","dialign","0.524","0.000","1029.409"
"ref2","test1","3grs_ref2","poa","0.772","0.176","270.206"
"ref2","test1","3grs_ref2","clustalw2","0.788","0.079","645.554"
"ref1","test1","451c_ref1","tcoffee","0.637","0.508","259.543"
"ref1","test1","451c_ref1","dialign","0.440","0.108","116.416"
"ref1","test1","451c_ref1","poa","0.518","0.123","130.817"
"ref1","test1","451c_ref1","clustalw2","0.555","0.338","29.655"
"ref2","test1","2myr_ref2","tcoffee","0.932","0.673","6753.516"
"ref2","test1","2myr_ref2","dialign","0.651","0.000","3835.26"
"ref2","test1","2myr_ref2","poa","0.832","0.518","999.735"
"ref2","test1","2myr_ref2","clustalw2","0.893","0.585","2094.071"
"ref8","test","cellulase_2_ref8","tcoffee","","","85.57"
"ref8","test","cellulase_2_ref8","dialign","","","107.973"
"ref8","test","cellulase_2_ref8","poa","","","20.518"
"ref8","test","cellulase_2_ref8","clustalw2","","","61.987"
"ref4","test","1vln_ref4","tcoffee","0.961","0.786","714.303"
"ref4","test","1vln_ref4","dialign","0.719","0.000","445.345"
"ref4","test","1vln_ref4","poa","0.879","0.573","157.707"
"ref4","test","1vln_ref4","clustalw2","0.891","0.641","170.928"
"ref1","test3","1gtr_ref1","tcoffee","0.962","0.919","752.084"
"ref1","test3","1gtr_ref1","dialign","0.962","0.916","396.855"
"ref1","test3","1gtr_ref1","poa","0.899","0.796","177.89"
"ref1","test3","1gtr_ref1","clustalw2","0.948","0.899","244.633"
"ref6","test_2b","myb_ref6","tcoffee","","","19278.633"
"ref6","test_2b","myb_ref6","dialign","","","17280.335"
"ref6","test_2b","myb_ref6","poa","","","2659.975"
"ref6","test_2b","myb_ref6","clustalw2","","","5549.89"
"ref1","test3","2myr_ref1","tcoffee","0.552","0.348","584.257"
"ref1","test3","2myr_ref1","dialign","0.228","0.025","305.514"
"ref1","test3","2myr_ref1","poa","0.082","0.000","174.911"
"ref1","test3","2myr_ref1","clustalw2","0.394","0.225","225.158"
"ref1","test3","1taq_ref1","tcoffee","0.893","0.837","2321.345"
"ref1","test3","1taq_ref1","dialign","0.834","0.725","1321.608"
"ref1","test3","1taq_ref1","poa","0.855","0.764","673.459"
"ref1","test3","1taq_ref1","clustalw2","0.874","0.810","1019.603"
"ref8","test","cellulase_1_ref8","tcoffee","","","91.894"
"ref8","test","cellulase_1_ref8","dialign","","","39.469"
"ref8","test","cellulase_1_ref8","poa","","","20.058"
"ref8","test","cellulase_1_ref8","clustalw2","","","55.181"
"ref1","test1","1aab_ref1","tcoffee","","","719.478"
"ref1","test1","1aab_ref1","dialign","","","40.509"
"ref1","test1","1aab_ref1","poa","","","16.436"
"ref1","test1","1aab_ref1","clustalw2","","","18.333"
"ref1","test1","1wit_ref1","tcoffee","0.759","0.624","695.469"
"ref1","test1","1wit_ref1","dialign","0.608","0.306","70.029"
"ref1","test1","1wit_ref1","poa","0.536","0.341","117.164"
"ref1","test1","1wit_ref1","clustalw2","0.693","0.506","46.858"
"ref6","test","ion_ref6","tcoffee","","",""
"ref6","test","ion_ref6","dialign","","",""
"ref6","test","ion_ref6","poa","","",""
"ref6","test","ion_ref6","clustalw2","","","32017.169"
"ref1","test3","1sesA_ref1","tcoffee","0.966","0.931","735.583"
"ref1","test3","1sesA_ref1","dialign","0.931","0.859","464.428"
"ref1","test3","1sesA_ref1","poa","0.896","0.819","206.761"
